Inj	FF	FS	SF	SS	TT
NaN	NaN	NaN	NaN	NaN	NaN
0.001	0.00508771453180601	0.00976916028170816	0.00688577605865004	0.0116346373949691	0.00841687083866971
0.001157577	0.00585511404856198	0.0112382611587801	0.00792312187139466	0.0133798342369694	0.00967988482004989
0.001339984	0.00673712093842615	0.0129230632626463	0.00911295515536681	0.0153818884652446	0.0111337437214493
0.001551135	0.00774854490292576	0.0148600390900934	0.010470515441748	0.0176755017915431	0.0127998742732309
0.001795558	0.00890799490641558	0.017072377162601	0.0120271374452635	0.020298302340957	0.0147072896582989
0.002078497	0.0102349824352659	0.0196050940102501	0.0138036199397266	0.0232914027261612	0.0168841869883677
0.00240602	0.011750981799722	0.0224943895860264	0.0158260384478673	0.0267042086951274	0.0193641534000627
0.002785153	0.0134790032266301	0.0257855943129119	0.0181223910004361	0.0305665757506177	0.0221815635603201
0.003224029	0.0154430381584315	0.0295228209477805	0.0207197203638921	0.0349475923830061	0.0253780998971949
0.003732061	0.0176681104110628	0.0337422784473805	0.0236470499379978	0.0398780022901286	0.0289819946875597
0.004320148	0.0201826174272967	0.0384775129938024	0.0269314869864545	0.0453996795439829	0.0330227091544094
0.005000904	0.0230026607706522	0.0437936394487328	0.030590024593704	0.0515599595205529	0.0375294111453155
0.005788931	0.0261652562482804	0.0497107699248718	0.0346557199099568	0.058374389249661	0.042542751487309
0.006701133	0.0296864771553129	0.0562500602966404	0.0391366116702776	0.0658507168951442	0.0480694788003523
0.007757077	0.0335834117143721	0.0634109491659411	0.0440377099802631	0.0739711672175259	0.0541129086680313
0.008979413	0.0378671712863726	0.0711758613171682	0.0493553607194815	0.0826899789125886	0.0606617515804863
0.01039436	0.0425408875137462	0.0794941419167443	0.0550735912636173	0.0919299904222631	0.0675777987035903
0.01203227	0.0476025610787432	0.0882937126251186	0.0611667565842915	0.101480352991853	0.074976098226649
0.01392828	0.0530395271024092	0.0974695949918091	0.0675991073763618	0.111383250888727	0.0827198768737957
0.01612306	0.0588319852271548	0.106909413584664	0.0743326884816345	0.121416677475859	0.0907436166900991
0.01866368	0.0649538183286859	0.116503387559697	0.0813269411871386	0.131478269348918	0.0989752032264198
0.02160465	0.0713785342532809	0.126048355228184	0.0885532438902977	0.141397625855799	0.10727006968663
0.02500904	0.0780677996486263	0.135529434108561	0.0958058290445569	0.151256564384837	0.115607078207638
0.02894989	0.0849662859186819	0.144990199233971	0.103326797325577	0.160900957365209	0.124079847988612
0.03351172	0.0921210236917124	0.154232426232444	0.110969490446214	0.170496406185754	0.132484205809425
0.0387924	0.0994298546034825	0.163505664178307	0.118772808789069	0.179910861673025	0.141000728657152
0.04490518	0.106970975316271	0.172634860489102	0.12669287372819	0.18932529509931	0.149516825456112
0.0519812	0.114760441401897	0.181776918508215	0.134845049638245	0.198754132300296	0.158165446713668
0.06017224	0.122743176420014	0.190963055715659	0.143246947911011	0.208287134895092	0.166974043035244
0.069654	0.131022011438238	0.200294565385284	0.151890609314594	0.218040817035666	0.175989051293925
0.08062986	0.139595998958552	0.209852877880477	0.160803704619413	0.228085427025081	0.185178843203179
0.09333527	0.148497631859485	0.219658650362935	0.170077269131993	0.238445898720575	0.194751040955912
0.1080428	0.157703182877281	0.229841667845006	0.17982148832515	0.249232776495303	0.20474635929642
0.1250678	0.167426459301412	0.240470407020105	0.190096182178626	0.260625339779495	0.215214876897927
0.1447756	0.177660551384346	0.25175289540953	0.200954114097625	0.27258683788471	0.226252035787582
0.1675889	0.188517312497359	0.263532545090913	0.212508482504125	0.285355206953829	0.237960626920858
0.193997	0.200003958756389	0.27614548813006	0.224865925746997	0.299091393744902	0.250448978330429
0.2245665	0.21233082989798	0.289614546183069	0.238170290962504	0.31381429213347	0.263874475472913
0.259953	0.225551025213288	0.304237040520397	0.252598843305157	0.329894368286823	0.27838170841793
0.3009156	0.239872685785566	0.32003406108367	0.26827567626844	0.347441819292806	0.294136658982821
0.348333	0.255399175663515	0.337383438012072	0.285456941974289	0.36674386436433	0.311412768782125
0.4032222	0.272336989976546	0.356353875916684	0.304392464624052	0.388134475434207	0.330434566832827
0.4667607	0.290941903087354	0.377307805708749	0.325391600255479	0.411999842649531	0.351510741548879
0.5403114	0.311522773576815	0.400420460185544	0.348797960602853	0.438695763330543	0.375013994175995
0.6254521	0.334373591533139	0.425938622876228	0.37510466226141	0.468673481948561	0.401353511634526
0.7240089	0.359908270155749	0.454188020063477	0.404588741830186	0.502608416853134	0.430940933546067
0.838096	0.388548058408041	0.485487255194941	0.438023504855069	0.540950229118814	0.464328028839443
0.9701606	0.420683891071876	0.520037314740455	0.475878931624804	0.583647787587785	0.501923523945669
1.123036	0.456562003102009	0.557785959573864	0.518962684826386	0.629735530588268	0.543681404147913
1.3	0.496506785380319	0.59842944753537	0.568084244432598	0.67851367393933	0.589517779986549
