Inj	meas
0.3087406	0.3084
0.3143389	0.30951
0.3200387	0.31222
0.3258419	0.31566
0.3317503	0.31634
0.3377658	0.31944
0.3438904	0.31968
0.350126	0.32142
0.3564747	0.32221
0.3629386	0.32564
0.3695196	0.32865
0.37622	0.33028
0.3830419	0.33097
0.3899874	0.33418
0.3970589	0.33738
0.4042587	0.33714
0.411589	0.33921
0.4190522	0.34034
0.4266507	0.34632
0.434387	0.34858
0.4422636	0.35017
0.450283	0.35264
0.4584478	0.35242
0.4667607	0.35631
0.4752243	0.35986
0.4838414	0.36214
0.4926147	0.36621
0.5015472	0.36788
0.5106415	0.36998
0.5199008	0.37224
0.529328	0.37749
0.5389261	0.37774
0.5486983	0.38212
0.5586477	0.38284
0.5687774	0.38579
0.5790909	0.38793
0.5895913	0.39206
0.6002822	0.39466
0.6111669	0.39675
0.622249	0.40036
0.633532	0.40462
0.6450197	0.40862
0.6567156	0.41276
0.6686236	0.41408
0.6807475	0.41832
0.6930913	0.41953
0.7056589	0.42383
0.7184543	0.42636
0.7314818	0.43092
0.7447455	0.43499
0.7582497	0.43791
0.7719988	0.44094
0.7859972	0.44626
0.8002494	0.44861
0.8147601	0.45442
0.8295339	0.4577
0.8445755	0.46195
0.8598899	0.46597
0.875482	0.46768
0.8913568	0.47246
0.9075195	0.47586
0.9239752	0.48076
0.9407294	0.48521
0.9577873	0.48909
0.9751545	0.49421
0.9928367	0.49629
1.010839	0.49996
1.029169	0.50551
1.04783	0.51251
1.06683	0.51626
1.086175	0.5203
1.10587	0.52487
1.125922	0.53103
1.146338	0.53596
1.167124	0.5388
1.188287	0.54361
1.209834	0.54788
1.231772	0.55475
1.254107	0.56187
1.276847	0.56673
1.3	0.57464
