Inj	meas
0.001	0.01096
0.001018133	0.01251
0.001036594	0.00978
0.00105539	0.01225
0.001074527	0.01385
0.001094011	0.01531
0.001113849	0.01418
0.001134046	0.01351
0.001154609	0.01274
0.001175545	0.01595
0.001196861	0.01774
0.001218563	0.01573
0.001240659	0.01439
0.001263155	0.01606
0.00128606	0.01571
0.00130938	0.01552
0.001333122	0.0171
0.001357295	0.01744
0.001381906	0.01935
0.001406964	0.0181
0.001432476	0.01782
0.001458451	0.01828
0.001484896	0.01926
0.001511821	0.01957
0.001539235	0.01943
0.001567145	0.02056
0.001595562	0.02147
0.001624493	0.01972
0.00165395	0.02064
0.00168394	0.02215
0.001714475	0.02041
0.001745563	0.01904
0.001777214	0.02321
0.00180944	0.02338
0.00184225	0.02197
0.001875655	0.02466
0.001909665	0.02376
0.001944293	0.02411
0.001979548	0.02694
0.002015442	0.02535
0.002051988	0.02698
0.002089196	0.02698
0.002127078	0.02641
0.002165648	0.02776
0.002204917	0.02596
0.002244898	0.02785
0.002285604	0.03004
0.002327048	0.03019
0.002369244	0.02827
0.002412204	0.02877
0.002455944	0.03109
0.002500477	0.03089
0.002545817	0.02981
0.00259198	0.0322
0.002638979	0.03215
0.002686831	0.03525
0.00273555	0.03299
0.002785153	0.03331
0.002835655	0.03351
0.002887073	0.0353
0.002939423	0.03503
0.002992723	0.03624
0.003046989	0.03552
0.003102239	0.03727
0.003158491	0.03925
0.003215763	0.0383
0.003274073	0.0388
0.003333441	0.03963
0.003393885	0.04026
0.003455425	0.04005
0.003518081	0.04041
0.003581873	0.04293
0.003646822	0.04146
0.003712949	0.04172
0.003780274	0.04323
0.003848821	0.04264
0.00391861	0.04656
0.003989665	0.04667
0.004062008	0.04777
0.004135663	0.04667
0.004210654	0.04752
0.004287004	0.04778
0.004364739	0.04918
0.004443883	0.05003
0.004524463	0.05025
0.004606503	0.05003
0.004690032	0.05288
0.004775074	0.05433
0.004861659	0.05464
0.004949814	0.05427
0.005039567	0.05334
0.005130948	0.05672
0.005223986	0.0576
0.00531871	0.05829
0.005415153	0.06074
0.005513344	0.06076
0.005613316	0.05989
0.0057151	0.06149
0.00581873	0.06257
0.005924239	0.06612
0.006031661	0.0648
0.006141031	0.06407
0.006252384	0.06512
0.006365757	0.0669
0.006481185	0.0667
0.006598706	0.06826
0.006718358	0.07051
0.00684018	0.07098
0.00696421	0.0714
0.00709049	0.07161
0.00721906	0.07142
0.00734996	0.07449
0.007483235	0.07577
0.007618926	0.07342
0.007757077	0.07562
0.007897733	0.07584
0.00804094	0.07605
0.008186744	0.0791
0.008335191	0.07863
0.008486331	0.08283
0.00864021	0.08171
0.00879688	0.08109
0.008956391	0.08307
0.009118794	0.08353
0.009284142	0.08511
0.009452489	0.08906
0.009623887	0.08826
0.009798394	0.08986
0.009976065	0.09048
0.01015696	0.09193
0.01034113	0.09164
0.01052864	0.09254
0.01071955	0.09519
0.01091393	0.09666
0.01111183	0.098
0.01131331	0.09644
0.01151845	0.09877
0.01172732	0.1003
0.01193996	0.09935
0.01215647	0.10222
0.01237689	0.1062
0.01260132	0.10465
0.01282982	0.10788
0.01306246	0.10628
0.01329931	0.10789
0.01354046	0.10752
0.01378599	0.1088
0.01403597	0.1113
0.01429047	0.10982
0.0145496	0.11279
0.01481342	0.11296
0.01508203	0.11429
0.01535551	0.11461
0.01563394	0.11475
0.01591743	0.11748
0.01620605	0.11704
0.01649991	0.11717
0.0167991	0.11703
0.01710371	0.11926
0.01741385	0.1199
0.01772961	0.122
0.01805109	0.12259
0.01837841	0.12224
0.01871165	0.12578
0.01905095	0.1262
0.01939639	0.12726
0.0197481	0.12818
0.02010618	0.1301
0.02047076	0.13119
0.02084195	0.13021
0.02121987	0.1325
0.02160465	0.13253
0.0219964	0.1336
0.02239525	0.13657
0.02280133	0.136
0.02321478	0.13743
0.02363573	0.13789
0.02406431	0.13993
0.02450066	0.14041
0.02494492	0.13899
0.02539724	0.14139
0.02585776	0.1426
0.02632663	0.14375
0.026804	0.14293
0.02729003	0.14382
0.02778487	0.14535
0.02828868	0.14671
0.02880163	0.14943
0.02932388	0.14975
0.0298556	0.14995
0.03039696	0.14922
0.03094814	0.15075
0.03150931	0.15013
0.03208066	0.15211
0.03266237	0.15305
0.03325462	0.15448
0.03385762	0.15559
0.03447155	0.15544
0.03509661	0.15698
0.035733	0.1571
0.03638094	0.1561
0.03704062	0.15807
0.03771226	0.15924
0.03839609	0.15965
0.03909231	0.15938
0.03980116	0.15944
0.04052286	0.16263
0.04125765	0.16345
0.04200576	0.16232
0.04276743	0.16436
0.04354292	0.16634
0.04433247	0.16475
0.04513634	0.16684
0.04595478	0.16815
0.04678806	0.16976
0.04763645	0.17044
0.04850023	0.17157
0.04937966	0.1715
0.05027505	0.17394
0.05118667	0.17596
0.05211482	0.17285
0.0530598	0.1743
0.05402192	0.17681
0.05500148	0.17697
0.0559988	0.17724
0.05701421	0.17858
0.05804803	0.1789
0.05910059	0.17912
0.06017224	0.17979
0.06126333	0.18316
0.06237419	0.18497
0.0635052	0.18234
0.06465672	0.18416
0.06582912	0.18446
0.06702278	0.18508
0.06823808	0.18567
0.06947542	0.18713
0.07073519	0.18878
0.07201781	0.19193
0.07332368	0.19077
0.07465324	0.19039
0.0760069	0.19245
0.0773851	0.19377
0.0787883	0.19369
0.08021694	0.19529
0.08167149	0.19629
0.08315241	0.19818
0.08466019	0.19666
0.0861953	0.19901
0.08775825	0.19738
0.08934954	0.19868
0.09096969	0.20188
0.09261921	0.20232
0.09429864	0.2034
0.09600853	0.203
0.09774942	0.20582
0.09952187	0.20605
0.1013265	0.20509
0.1031638	0.20954
0.1050344	0.20908
0.106939	0.21033
0.1088781	0.21297
0.1108523	0.21475
0.1128624	0.21493
0.1149089	0.21567
0.1169925	0.21742
0.1191138	0.21767
0.1212737	0.21815
0.1234727	0.22011
0.1257116	0.22111
0.1279911	0.21979
0.1303119	0.22541
0.1326748	0.22393
0.1350805	0.2252
0.1375299	0.22751
0.1400237	0.22745
0.1425627	0.23196
0.1451477	0.23302
0.1477797	0.23306
0.1504593	0.2336
0.1531875	0.2358
0.1559652	0.23683
0.1587933	0.23801
0.1616726	0.23784
0.1646042	0.2402
0.1675889	0.24248
0.1706277	0.24338
0.1737217	0.24547
0.1768717	0.24833
0.1800789	0.24762
0.1833442	0.24954
0.1866687	0.25349
0.1900535	0.2524
0.1934997	0.25678
0.1970083	0.255
0.2005806	0.25866
0.2042177	0.2605
0.2079207	0.26536
0.2116908	0.26725
0.2155294	0.26721
0.2194375	0.26758
0.2234165	0.26814
0.2274676	0.27478
0.2315922	0.27519
0.2357916	0.27479
0.2400671	0.28146
0.2444202	0.28094
0.2488521	0.28432
0.2533645	0.28511
0.2579587	0.28979
0.2626361	0.28952
0.2673984	0.29383
0.2722471	0.29053
0.2771836	0.2967
0.2822097	0.29736
0.2873269	0.30219
0.2925369	0.3034
0.2978414	0.30587
0.3032421	0.30799
