inj	out_1kev_400	out_2kev_400	out_3kev_400	out_1kev_50	out_2kev_50	out_3kev_50
0.814	0.47695	0.36181	0.31901	0.24887	0.2115	0.19326
0.816	0.47691	0.3631	0.3165	0.24829	0.2126	0.19493
0.818	0.47645	0.3641	0.31964	0.24709	0.21359	0.19395
0.82	0.47652	0.3627	0.31902	0.24623	0.21245	0.19524
0.822	0.47709	0.36286	0.31808	0.24946	0.21431	0.19598
0.824	0.47823	0.36372	0.32216	0.24842	0.21299	0.19466
0.826	0.48127	0.36663	0.32108	0.24613	0.21722	0.19564
0.828	0.4781	0.36632	0.32198	0.24635	0.21288	0.19683
0.83	0.4802	0.36462	0.3219	0.25054	0.21392	0.1961
0.832	0.48007	0.36556	0.32165	0.24863	0.21439	0.19636
0.834	0.48145	0.36363	0.32297	0.2501	0.21439	0.19582
0.836	0.47969	0.36636	0.32215	0.2498	0.21219	0.19523
0.838	0.48506	0.36566	0.32248	0.24842	0.21501	0.19703
0.84	0.48201	0.36862	0.3231	0.25073	0.21467	0.19749
0.842	0.48534	0.36756	0.32088	0.24988	0.21555	0.19524
0.844	0.48374	0.36665	0.32202	0.24891	0.21505	0.199
0.846	0.48409	0.37002	0.32172	0.24833	0.21408	0.19686
0.848	0.48415	0.36811	0.32352	0.24855	0.21399	0.19642
0.85	0.48668	0.3687	0.32165	0.25043	0.21736	0.19532
0.852	0.48839	0.36852	0.3228	0.25134	0.2154	0.19655
0.854	0.48309	0.36911	0.32512	0.25091	0.21628	0.19537
0.856	0.48578	0.37052	0.32378	0.25011	0.21495	0.19686
0.858	0.48882	0.37364	0.3244	0.25138	0.2172	0.19728
0.86	0.48593	0.37043	0.32757	0.25079	0.21685	0.19709
0.862	0.48782	0.36858	0.3274	0.25048	0.21702	0.19695
0.864	0.48827	0.37162	0.324	0.24968	0.21281	0.19721
0.866	0.48937	0.37203	0.32432	0.24834	0.21583	0.19864
0.868	0.48922	0.37172	0.32786	0.25135	0.21526	0.1995
0.87	0.48971	0.37592	0.32594	0.25141	0.21667	0.1971
0.872	0.48817	0.37123	0.32341	0.24985	0.21698	0.19784
0.874	0.48813	0.37123	0.32794	0.24984	0.21426	0.19857
0.876	0.49197	0.37268	0.32733	0.25206	0.2161	0.1955
0.878	0.49163	0.37119	0.32528	0.25175	0.2181	0.19905
0.88	0.49135	0.37515	0.32769	0.25143	0.21613	0.19776
0.882	0.49192	0.37316	0.32925	0.25337	0.21392	0.19913
0.884	0.49223	0.37636	0.32719	0.2525	0.21869	0.1974
0.886	0.49249	0.3723	0.32738	0.25282	0.21899	0.19757
0.888	0.49438	0.37474	0.32998	0.25175	0.21579	0.19718
0.89	0.49116	0.37542	0.32678	0.25196	0.218	0.19811
0.892	0.49295	0.37703	0.33116	0.25234	0.21782	0.1983
0.894	0.49432	0.37675	0.32891	0.25263	0.22004	0.19884
0.896	0.49688	0.37582	0.33004	0.25356	0.21644	0.1979
0.898	0.497	0.37549	0.32814	0.24916	0.21787	0.19831
0.9	0.49651	0.37851	0.33064	0.25355	0.218	0.19963
0.902	0.49572	0.37653	0.32832	0.25296	0.21715	0.19928
0.904	0.49875	0.37823	0.32985	0.25316	0.21817	0.19965
0.906	0.49817	0.37832	0.32892	0.25242	0.21799	0.20084
0.908	0.49764	0.37521	0.33032	0.25152	0.21751	0.19872
0.91	0.49914	0.37853	0.33205	0.25404	0.22041	0.2004
0.912	0.50019	0.37917	0.3311	0.25479	0.21888	0.20177
0.914	0.50097	0.37807	0.32801	0.25398	0.21781	0.20103
0.916	0.50219	0.37866	0.33313	0.25295	0.21746	0.20168
0.918	0.50295	0.37906	0.33203	0.25394	0.21696	0.19947
0.92	0.50082	0.38329	0.33235	0.25354	0.22	0.19861
0.922	0.50398	0.38013	0.33295	0.25703	0.21781	0.20124
0.924	0.50254	0.37771	0.33447	0.25517	0.22092	0.2015
0.926	0.50263	0.37892	0.33408	0.25616	0.21931	0.19973
0.928	0.50212	0.38091	0.33469	0.25472	0.21983	0.20016
0.93	0.5052	0.38226	0.33134	0.25359	0.21716	0.19819
0.932	0.50438	0.38211	0.33437	0.25407	0.21993	0.20081
0.934	0.50937	0.38086	0.33162	0.25553	0.21962	0.20362
0.936	0.50731	0.38306	0.33218	0.25443	0.21966	0.19966
0.938	0.50528	0.38211	0.33457	0.25386	0.22018	0.20186
0.94	0.50727	0.38179	0.3337	0.25512	0.21742	0.19969
0.942	0.5094	0.38421	0.33172	0.25774	0.22105	0.20001
0.944	0.50449	0.38436	0.33547	0.25595	0.21864	0.20159
0.946	0.50887	0.38325	0.33381	0.25724	0.22005	0.20237
0.948	0.508	0.38363	0.33435	0.25972	0.21959	0.2026
0.95	0.5106	0.38385	0.33574	0.25723	0.22136	0.19956
0.952	0.51408	0.38399	0.33492	0.2554	0.22164	0.20252
0.954	0.51142	0.38591	0.33369	0.25642	0.22248	0.20087
0.956	0.51083	0.38664	0.33445	0.25731	0.22174	0.20061
0.958	0.51072	0.38484	0.33514	0.25814	0.21937	0.20163
0.96	0.51399	0.38513	0.33886	0.25654	0.21999	0.2027
0.962	0.51267	0.38603	0.33668	0.25676	0.22124	0.20213
0.964	0.51345	0.38567	0.33586	0.258	0.2218	0.20346
0.966	0.51401	0.38806	0.33737	0.2595	0.22137	0.20248
0.968	0.51413	0.38554	0.33703	0.25778	0.22226	0.20077
0.97	0.5173	0.38732	0.33731	0.25831	0.22132	0.20243
0.972	0.51527	0.38895	0.33403	0.25726	0.22114	0.20256
0.974	0.51499	0.388	0.33576	0.25763	0.22011	0.20321
0.976	0.51588	0.38706	0.33774	0.25829	0.2227	0.20393
0.978	0.51785	0.38801	0.33813	0.25862	0.22049	0.20345
0.98	0.51932	0.38823	0.3377	0.25873	0.22092	0.20283
0.982	0.519	0.38971	0.33701	0.25842	0.22157	0.20536
0.984	0.52092	0.38913	0.34053	0.25915	0.22368	0.20359
0.986	0.51625	0.38942	0.33824	0.25927	0.22101	0.20581
0.988	0.51645	0.38973	0.33931	0.25654	0.22377	0.20283
0.99	0.52062	0.39039	0.34016	0.25792	0.22399	0.20115
0.992	0.5183	0.39217	0.33927	0.25919	0.22313	0.20294
0.994	0.5211	0.39109	0.33923	0.25979	0.22075	0.20488
0.996	0.52336	0.38894	0.33992	0.2597	0.22492	0.20274
0.998	0.52369	0.39302	0.34209	0.26235	0.22055	0.20275
1	0.5196	0.39087	0.33895	0.25695	0.22328	0.20574
1.002	0.52764	0.39465	0.34329	0.26088	0.22273	0.20417
1.004	0.52666	0.39583	0.34087	0.26001	0.22329	0.20306
1.006	0.52964	0.39487	0.33932	0.25778	0.22395	0.20493
1.008	0.52838	0.39265	0.34301	0.26169	0.22204	0.20349
1.01	0.52765	0.39231	0.34173	0.26134	0.22308	0.20576
1.012	0.52751	0.39527	0.34037	0.26135	0.22328	0.20479
1.014	0.52627	0.39566	0.34403	0.26164	0.22341	0.20291
1.016	0.52684	0.39572	0.34083	0.26058	0.22345	0.20606
1.018	0.52995	0.39514	0.34622	0.25966	0.2259	0.20479
1.02	0.53114	0.39533	0.34264	0.26125	0.22471	0.20273
1.022	0.52687	0.39641	0.34365	0.26054	0.22333	0.20527
1.024	0.53147	0.39723	0.34443	0.26066	0.22287	0.20603
1.026	0.53182	0.39487	0.34343	0.26214	0.22509	0.20562
1.028	0.53006	0.3987	0.34221	0.26343	0.22333	0.20542
1.03	0.52926	0.39828	0.34291	0.26094	0.22433	0.20315
1.032	0.53289	0.39896	0.3444	0.26352	0.22478	0.20753
1.034	0.53051	0.39899	0.34461	0.26223	0.22581	0.20678
1.036	0.53211	0.39849	0.34466	0.26129	0.22587	0.20685
1.038	0.53375	0.40011	0.34372	0.26294	0.22464	0.2051
1.04	0.53507	0.40006	0.34445	0.26256	0.22665	0.20514
1.042	0.53378	0.40044	0.34563	0.2617	0.22532	0.20484
1.044	0.53571	0.39918	0.34579	0.26255	0.22539	0.20382
1.046	0.53641	0.39861	0.34768	0.26125	0.22574	0.20626
1.048	0.53658	0.40047	0.34546	0.26379	0.22422	0.20769
1.05	0.53827	0.40152	0.34482	0.26227	0.22614	0.20484
1.052	0.53718	0.39808	0.34648	0.26202	0.22627	0.20504
1.054	0.53837	0.40301	0.34719	0.26226	0.22511	0.2055
1.056	0.53999	0.40037	0.34571	0.25967	0.22551	0.20528
1.058	0.54007	0.39969	0.3439	0.26382	0.2264	0.20545
1.06	0.53966	0.40145	0.34528	0.26219	0.225	0.20787
1.062	0.53804	0.40228	0.34944	0.26843	0.22544	0.20737
1.064	0.53854	0.40323	0.34803	0.2633	0.22794	0.20637
1.066	0.53953	0.40416	0.34832	0.26231	0.22601	0.20663
1.068	0.53967	0.40249	0.34861	0.26376	0.22701	0.20842
1.07	0.54244	0.40345	0.34742	0.26464	0.22898	0.20653
1.072	0.54078	0.40276	0.34846	0.26191	0.22502	0.20882
1.074	0.54411	0.40231	0.34828	0.26434	0.22673	0.20902
1.076	0.54273	0.40617	0.34883	0.26408	0.22847	0.2083
1.078	0.54624	0.40598	0.34901	0.26529	0.2265	0.20944
1.08	0.54062	0.40567	0.35127	0.26588	0.22797	0.20803
1.082	0.5483	0.40556	0.34634	0.26485	0.22607	0.20596
1.084	0.54285	0.40397	0.35085	0.26369	0.22814	0.20923
1.086	0.54345	0.40528	0.35023	0.26544	0.22632	0.20759
1.088	0.54827	0.40638	0.34961	0.26395	0.22783	0.20781
1.09	0.54367	0.40489	0.3492	0.26601	0.22845	0.20708
1.092	0.54394	0.40394	0.34915	0.2652	0.22761	0.20839
1.094	0.54621	0.40777	0.35072	0.26447	0.2267	0.20715
1.096	0.54992	0.40816	0.3522	0.26504	0.2275	0.2065
1.098	0.54974	0.40634	0.35295	0.26572	0.22765	0.20874
1.1	0.54805	0.40876	0.35181	0.2626	0.22703	0.20577
1.102	0.55136	0.41037	0.35323	0.26577	0.22803	0.20922
1.104	0.54846	0.41003	0.35333	0.267	0.22908	0.20778
1.106	0.54978	0.40974	0.35207	0.26462	0.22535	0.20795
1.108	0.55133	0.40836	0.35315	0.26585	0.22755	0.20992
1.11	0.5506	0.4115	0.35361	0.26767	0.2281	0.20892
1.112	0.5482	0.40983	0.35293	0.26492	0.22754	0.20791
1.114	0.55423	0.40988	0.3535	0.26717	0.22672	0.20876
1.116	0.55374	0.40774	0.35707	0.26628	0.22913	0.20902
1.118	0.5525	0.41497	0.3551	0.26657	0.22999	0.20829
1.12	0.55122	0.4111	0.3519	0.26521	0.23026	0.21071
1.122	0.55367	0.41043	0.35481	0.26541	0.22702	0.21045
1.124	0.55016	0.40985	0.35292	0.2666	0.22892	0.21209
1.126	0.55337	0.41075	0.35445	0.26435	0.22996	0.21171
1.128	0.55404	0.41002	0.35386	0.26791	0.22943	0.20881
1.13	0.55552	0.41065	0.35588	0.26668	0.22911	0.20981
1.132	0.55221	0.41369	0.35463	0.26686	0.22922	0.2105
1.134	0.5577	0.41231	0.35633	0.26669	0.22796	0.21138
1.136	0.55585	0.41239	0.35661	0.26698	0.2291	0.21052
1.138	0.55827	0.413	0.35661	0.2673	0.22938	0.20933
1.14	0.55989	0.41338	0.35576	0.27168	0.23191	0.21317
1.142	0.55871	0.41545	0.35615	0.26927	0.22934	0.21137
1.144	0.55745	0.41474	0.35753	0.27043	0.23048	0.2111
1.146	0.55682	0.41287	0.35578	0.26908	0.22744	0.21029
1.148	0.56089	0.41392	0.35627	0.26968	0.23129	0.21047
1.15	0.55976	0.41632	0.35672	0.26667	0.23088	0.21033
1.152	0.56388	0.41625	0.35908	0.26706	0.23133	0.21065
1.154	0.5587	0.4184	0.35705	0.26883	0.22857	0.21133
1.156	0.56322	0.41558	0.3596	0.26754	0.23143	0.21388
1.158	0.56032	0.4195	0.35772	0.26803	0.2303	0.21066
1.16	0.56392	0.41436	0.35672	0.26858	0.22879	0.21184
1.162	0.55793	0.41657	0.36137	0.26934	0.23105	0.21229
1.164	0.56215	0.41935	0.35878	0.26981	0.23171	0.20948
1.166	0.56222	0.41745	0.3578	0.27062	0.23136	0.21158
1.168	0.56326	0.41938	0.35891	0.26991	0.23077	0.21164
1.17	0.56128	0.41765	0.35825	0.2692	0.2333	0.21268
1.172	0.565	0.41646	0.36319	0.27067	0.22916	0.21238
1.174	0.55959	0.42009	0.36058	0.2694	0.23302	0.21211
1.176	0.56463	0.41849	0.3599	0.26975	0.23048	0.21144
1.178	0.56221	0.42026	0.36206	0.27026	0.23274	0.2122
1.18	0.56604	0.42265	0.36106	0.26991	0.23193	0.21194
1.182	0.5687	0.42067	0.35741	0.27258	0.23181	0.21261
1.184	0.56515	0.42277	0.35847	0.27137	0.23286	0.21057
1.186	0.56736	0.42099	0.35999	0.27005	0.23553	0.21234
1.188	0.5648	0.41975	0.36199	0.27168	0.23125	0.21279
1.19	0.56538	0.42083	0.36393	0.2722	0.23073	0.21288
1.192	0.56533	0.42212	0.36042	0.27329	0.23087	0.21364
1.194	0.56915	0.42389	0.36225	0.26903	0.23276	0.21339
1.196	0.56953	0.42056	0.36385	0.27126	0.22908	0.21286
1.198	0.5719	0.42302	0.36188	0.26966	0.23355	0.21487
1.2	0.57055	0.42293	0.36487	0.27076	0.23248	0.21325
1.202	0.56853	0.42334	0.36259	0.2714	0.23359	0.21409
1.204	0.56914	0.423	0.36325	0.26994	0.23292	0.21259
1.206	0.56817	0.42287	0.36422	0.27106	0.23451	0.21195
1.208	0.5709	0.42563	0.36442	0.27236	0.23159	0.21364
1.21	0.57243	0.42567	0.3643	0.27274	0.23287	0.2125
1.212	0.56992	0.42691	0.36243	0.27332	0.23048	0.2161
1.214	0.57188	0.42576	0.36378	0.27308	0.23551	0.21657
1.216	0.57235	0.42638	0.36336	0.27199	0.23328	0.21369
1.218	0.57702	0.42516	0.36574	0.27114	0.23242	0.21161
1.22	0.57295	0.42445	0.36429	0.27154	0.2327	0.21404
1.222	0.57549	0.42385	0.36716	0.27302	0.2321	0.21395
1.224	0.57314	0.42737	0.36621	0.27221	0.23308	0.21238
1.226	0.57414	0.42461	0.36518	0.27175	0.23304	0.21426
1.228	0.57487	0.42749	0.36658	0.27369	0.23414	0.21421
1.23	0.57511	0.42622	0.36542	0.27304	0.23293	0.21201
1.232	0.57614	0.42782	0.36764	0.27382	0.23296	0.2164
1.234	0.57387	0.42989	0.36857	0.27272	0.2343	0.21501
1.236	0.57429	0.42917	0.36639	0.27666	0.23355	0.21461
1.238	0.57967	0.42701	0.36565	0.27364	0.23475	0.21589
1.24	0.57999	0.43153	0.36571	0.27419	0.23458	0.21709
1.242	0.575	0.42896	0.36575	0.27335	0.23408	0.21453
1.244	0.57438	0.4291	0.36843	0.2727	0.23364	0.21601
1.246	0.57798	0.42826	0.36773	0.27359	0.23368	0.21539
1.248	0.58013	0.43051	0.36786	0.27775	0.23461	0.21575
1.25	0.57775	0.43038	0.36791	0.2739	0.23429	0.21531
1.252	0.57824	0.43082	0.3683	0.27411	0.23513	0.2173
1.254	0.5775	0.43332	0.36772	0.27439	0.23568	0.21571
1.256	0.58153	0.43124	0.36993	0.27466	0.23633	0.21388
1.258	0.57837	0.43069	0.36723	0.27742	0.23564	0.21583
1.26	0.58242	0.4309	0.36864	0.27919	0.23474	0.2161
1.262	0.57972	0.43103	0.36838	0.27639	0.23868	0.21892
1.264	0.58131	0.43225	0.37041	0.276	0.23572	0.21374
1.266	0.58157	0.43207	0.36803	0.27704	0.23482	0.21625
1.268	0.58229	0.43338	0.37028	0.27612	0.23719	0.21648
1.27	0.58463	0.43141	0.36876	0.27659	0.23747	0.21458
1.272	0.58306	0.43247	0.37136	0.27554	0.23708	0.21599
1.274	0.58084	0.43391	0.37276	0.27855	0.23771	0.21855
1.276	0.58462	0.43467	0.36997	0.27729	0.23813	0.21746
1.278	0.58428	0.43689	0.37178	0.27759	0.23626	0.2168
1.28	0.58515	0.43599	0.37136	0.27743	0.23761	0.21785
1.282	0.587	0.43457	0.37228	0.2788	0.23697	0.21519
1.284	0.58794	0.43605	0.37379	0.27992	0.23823	0.21725
1.286	0.58491	0.43718	0.37403	0.28027	0.23737	0.21583
1.288	0.58603	0.43581	0.37222	0.28069	0.23833	0.21616
1.29	0.58682	0.43609	0.37171	0.27921	0.23866	0.21848
1.292	0.58422	0.43593	0.37247	0.27948	0.23719	0.21684
1.294	0.5885	0.43467	0.37294	0.27995	0.23848	0.21904
1.296	0.58626	0.43741	0.37153	0.28163	0.23951	0.2168
1.298	0.5872	0.43851	0.37422	0.2796	0.23889	0.21815
1.3	0.59048	0.43663	0.37378	0.28118	0.23944	0.21838
