inj	out_1kev_400	out_2kev_400	out_3kev_400	out_1kev_50	out_2kev_50	out_3kev_50
0.128	0.25599	0.22211	0.20504	0.14994	0.10779	0.0807
0.13	0.25473	0.22425	0.20176	0.15163	0.11111	0.08386
0.132	0.2573	0.22411	0.20409	0.15202	0.11184	0.08608
0.134	0.25802	0.22366	0.20362	0.15458	0.11165	0.08735
0.136	0.25713	0.22331	0.20539	0.15311	0.11389	0.08482
0.138	0.25995	0.22626	0.20629	0.15597	0.11381	0.08853
0.14	0.26017	0.22445	0.20577	0.15533	0.11312	0.08881
0.142	0.26168	0.22793	0.20848	0.15717	0.11655	0.09159
0.144	0.26178	0.2267	0.20906	0.15742	0.11765	0.09135
0.146	0.26077	0.22779	0.20894	0.15778	0.11925	0.08999
0.148	0.26248	0.22836	0.20988	0.15911	0.11803	0.09262
0.15	0.26429	0.22791	0.21053	0.16043	0.12041	0.09515
0.152	0.26657	0.2287	0.21073	0.16032	0.12051	0.09655
0.154	0.26673	0.23115	0.21223	0.16192	0.1211	0.094
0.156	0.26616	0.22988	0.21227	0.16226	0.12366	0.096
0.158	0.26725	0.23255	0.21308	0.16341	0.12268	0.0977
0.16	0.26887	0.23273	0.21209	0.16486	0.12377	0.096
0.162	0.26934	0.23281	0.21369	0.16587	0.12685	0.0987
0.164	0.27091	0.23379	0.21551	0.16521	0.12597	0.10084
0.166	0.27089	0.23617	0.21603	0.16474	0.12727	0.10093
0.168	0.27234	0.23525	0.21595	0.1677	0.12711	0.10214
0.17	0.27215	0.23405	0.21856	0.1663	0.12824	0.10486
0.172	0.27634	0.23587	0.21628	0.1689	0.12877	0.10343
0.174	0.27237	0.2357	0.21755	0.1682	0.13158	0.10442
0.176	0.27498	0.23976	0.21864	0.16944	0.13133	0.10555
0.178	0.27681	0.23803	0.21759	0.16895	0.13457	0.10728
0.18	0.27739	0.23839	0.21969	0.16955	0.13318	0.10735
0.182	0.27803	0.24003	0.22052	0.17166	0.13511	0.10796
0.184	0.27757	0.24038	0.21988	0.17224	0.13493	0.10546
0.186	0.27826	0.24144	0.22079	0.16968	0.13279	0.10802
0.188	0.28187	0.24032	0.21996	0.17267	0.13477	0.10988
0.19	0.27856	0.24121	0.22088	0.17322	0.13528	0.10843
0.192	0.28033	0.24366	0.2235	0.17416	0.13602	0.1127
0.194	0.28203	0.24459	0.22109	0.17641	0.13837	0.11078
0.196	0.28124	0.24298	0.22321	0.17484	0.13803	0.11186
0.198	0.2829	0.24404	0.22345	0.17604	0.14114	0.11254
0.2	0.28415	0.24635	0.22517	0.17529	0.14054	0.11335
0.202	0.28413	0.24483	0.22663	0.17532	0.14198	0.11377
0.204	0.28648	0.24615	0.22506	0.17681	0.14019	0.11733
0.206	0.28604	0.24652	0.22539	0.1781	0.14071	0.11484
0.208	0.28778	0.24749	0.22583	0.17838	0.14318	0.11614
0.21	0.2911	0.24724	0.22632	0.17915	0.14207	0.11975
0.212	0.28946	0.24795	0.22845	0.17937	0.14275	0.11766
0.214	0.2891	0.24822	0.22859	0.17874	0.14448	0.11787
0.216	0.29044	0.24739	0.22763	0.18296	0.14535	0.11861
0.218	0.29247	0.2488	0.22955	0.18047	0.14508	0.12268
0.22	0.29452	0.24754	0.22893	0.18273	0.14657	0.11989
0.222	0.29089	0.24937	0.23064	0.18232	0.14519	0.11958
0.224	0.29349	0.25203	0.23105	0.18039	0.14693	0.12113
0.226	0.29359	0.25193	0.23185	0.18213	0.14958	0.12066
0.228	0.29511	0.25093	0.2321	0.18196	0.14623	0.12262
0.23	0.29464	0.25043	0.23263	0.1852	0.14904	0.12444
0.232	0.29629	0.25472	0.23355	0.18399	0.14782	0.12409
0.234	0.30008	0.25477	0.2308	0.18435	0.15044	0.12567
0.236	0.29893	0.25461	0.23363	0.18235	0.15191	0.124
0.238	0.3006	0.25475	0.23118	0.18121	0.14989	0.12676
0.24	0.30126	0.25739	0.23363	0.1844	0.1518	0.12738
0.242	0.30517	0.25603	0.23381	0.18465	0.15325	0.12572
0.244	0.30241	0.25666	0.23696	0.18646	0.15262	0.12922
0.246	0.30417	0.25663	0.23796	0.18434	0.15364	0.12966
0.248	0.30381	0.25562	0.23779	0.18704	0.15434	0.13053
0.25	0.30335	0.25785	0.2354	0.18827	0.15491	0.12873
0.252	0.30501	0.25683	0.23973	0.19	0.15264	0.1298
0.254	0.30574	0.26073	0.23521	0.18713	0.15468	0.13074
0.256	0.30439	0.25786	0.23805	0.1869	0.15533	0.13027
0.258	0.30956	0.2585	0.23807	0.18774	0.15556	0.13242
0.26	0.30925	0.26037	0.23972	0.18785	0.15736	0.13268
0.262	0.30887	0.26021	0.24025	0.18954	0.15561	0.13369
0.264	0.31328	0.26165	0.23915	0.19204	0.15466	0.13174
0.266	0.31299	0.261	0.24003	0.19175	0.15615	0.13349
0.268	0.31004	0.26304	0.24159	0.19041	0.15846	0.13526
0.27	0.31088	0.26318	0.23999	0.19196	0.15592	0.13432
0.272	0.31242	0.26399	0.23999	0.19035	0.16017	0.13439
0.274	0.31077	0.26427	0.24107	0.19101	0.15954	0.13314
0.276	0.31486	0.26365	0.24017	0.18951	0.16039	0.13728
0.278	0.31409	0.26286	0.24121	0.19212	0.16184	0.13578
0.28	0.31695	0.26475	0.24266	0.19374	0.16085	0.13746
0.282	0.31627	0.26172	0.24394	0.19128	0.1587	0.13751
0.284	0.31666	0.26728	0.2443	0.193	0.16048	0.13941
0.286	0.31877	0.26555	0.24266	0.19225	0.16182	0.13856
0.288	0.31888	0.26599	0.24237	0.19524	0.16057	0.13751
0.29	0.31613	0.2667	0.24763	0.19286	0.16168	0.14088
0.292	0.32097	0.26758	0.24364	0.19498	0.16371	0.14095
0.294	0.31986	0.26536	0.24582	0.19592	0.1615	0.13948
0.296	0.32123	0.26789	0.24682	0.19839	0.16404	0.14075
0.298	0.3231	0.26778	0.24288	0.19638	0.16231	0.14221
0.3	0.32097	0.26781	0.24522	0.19612	0.16248	0.1427
0.302	0.32131	0.26883	0.24363	0.19564	0.16652	0.1403
0.304	0.32486	0.26951	0.24701	0.19617	0.16207	0.14441
0.306	0.32623	0.26955	0.24884	0.1969	0.16477	0.14417
0.308	0.32441	0.27173	0.2463	0.19785	0.16473	0.14404
0.31	0.32392	0.27078	0.24748	0.19852	0.16528	0.14536
0.312	0.32654	0.27035	0.24823	0.19862	0.16566	0.14636
0.314	0.32709	0.26991	0.24773	0.19993	0.16375	0.14349
0.316	0.32787	0.26897	0.24861	0.19745	0.16599	0.14231
0.318	0.33016	0.27029	0.24959	0.19886	0.16716	0.14557
0.32	0.33233	0.27452	0.25043	0.19982	0.1672	0.1452
0.322	0.33031	0.27317	0.25034	0.19857	0.16618	0.14474
0.324	0.33299	0.27339	0.25141	0.1986	0.16715	0.14641
0.326	0.33065	0.2762	0.2504	0.19772	0.17032	0.14706
0.328	0.33236	0.27533	0.25064	0.19773	0.17143	0.14626
0.33	0.33143	0.27549	0.25253	0.20001	0.16806	0.14766
0.332	0.33358	0.27686	0.24941	0.20031	0.17023	0.1475
0.334	0.3331	0.27685	0.25099	0.19974	0.16848	0.14914
0.336	0.33594	0.27536	0.25201	0.20104	0.17099	0.15035
0.338	0.33551	0.27813	0.25248	0.20129	0.17262	0.14731
0.34	0.3371	0.2775	0.24988	0.20407	0.17156	0.15044
0.342	0.33786	0.27701	0.2541	0.19973	0.16872	0.15094
0.344	0.33583	0.27772	0.25368	0.20527	0.1718	0.14962
0.346	0.34038	0.28071	0.25381	0.20217	0.17132	0.14977
0.348	0.33744	0.27786	0.25672	0.20488	0.17018	0.15096
0.35	0.33807	0.27794	0.25204	0.20454	0.17062	0.15466
0.352	0.33862	0.2781	0.25454	0.20291	0.17319	0.14994
0.354	0.34001	0.28057	0.25535	0.20206	0.17225	0.15235
0.356	0.34351	0.27891	0.25502	0.204	0.17352	0.15134
0.358	0.34305	0.28034	0.25572	0.20459	0.17029	0.14944
0.36	0.34199	0.28133	0.25524	0.20654	0.17328	0.15306
0.362	0.34402	0.28005	0.25488	0.20665	0.17326	0.15338
0.364	0.34106	0.2826	0.25798	0.20543	0.1753	0.15299
0.366	0.34913	0.28445	0.25725	0.20379	0.17432	0.15447
0.368	0.34494	0.28286	0.25843	0.20547	0.17373	0.15399
0.37	0.34432	0.28401	0.25879	0.20664	0.17316	0.15391
0.372	0.34743	0.28285	0.25752	0.20682	0.17477	0.15306
0.374	0.34676	0.28543	0.2582	0.20641	0.17397	0.1532
0.376	0.34739	0.28424	0.25805	0.20736	0.1765	0.1564
0.378	0.35043	0.28591	0.26089	0.2067	0.17626	0.15549
0.38	0.35002	0.28427	0.25968	0.20744	0.17698	0.15689
0.382	0.34753	0.28647	0.26033	0.20879	0.17647	0.15609
0.384	0.35043	0.28539	0.25824	0.21048	0.17726	0.15666
0.386	0.35224	0.28657	0.26098	0.20823	0.17706	0.15675
0.388	0.35402	0.2882	0.25945	0.20998	0.17671	0.15733
0.39	0.35234	0.29076	0.26048	0.20857	0.17662	0.15823
0.392	0.35305	0.28645	0.26121	0.20873	0.17971	0.15807
0.394	0.35372	0.28761	0.26144	0.20736	0.1778	0.15845
0.396	0.35574	0.28769	0.26167	0.20913	0.17755	0.15915
0.398	0.35621	0.28987	0.26301	0.21097	0.17862	0.15957
0.4	0.35609	0.28963	0.26163	0.21035	0.1781	0.15947
0.402	0.35726	0.28965	0.26318	0.20894	0.18059	0.15919
0.404	0.36009	0.29127	0.26217	0.20985	0.18005	0.16064
0.406	0.35973	0.29119	0.26361	0.20938	0.18035	0.16022
0.408	0.35855	0.29177	0.26191	0.21102	0.18007	0.16085
0.41	0.35873	0.29172	0.26443	0.20998	0.17977	0.16236
0.412	0.36275	0.2936	0.2627	0.21131	0.18032	0.15958
0.414	0.36071	0.29266	0.26434	0.21168	0.1813	0.16248
0.416	0.36086	0.29324	0.26555	0.21178	0.17991	0.16203
0.418	0.36119	0.29255	0.2641	0.21099	0.17898	0.16053
0.42	0.3602	0.29366	0.26409	0.21408	0.18115	0.16066
0.422	0.36429	0.29447	0.26577	0.21219	0.18292	0.16268
0.424	0.36383	0.29291	0.26652	0.21219	0.18138	0.16094
0.426	0.36325	0.29759	0.26844	0.21305	0.18147	0.16279
0.428	0.3629	0.29495	0.26628	0.21498	0.1826	0.16255
0.43	0.36787	0.29422	0.26813	0.21221	0.18266	0.16222
0.432	0.369	0.29797	0.26808	0.21362	0.18342	0.16542
0.434	0.36777	0.29789	0.26719	0.21379	0.18309	0.16229
0.436	0.36626	0.29858	0.26867	0.2132	0.18235	0.16164
0.438	0.36837	0.29886	0.26858	0.21333	0.18499	0.16465
0.44	0.36818	0.29755	0.26977	0.21392	0.18138	0.16324
0.442	0.36963	0.29805	0.26956	0.2147	0.18447	0.16711
0.444	0.36939	0.29844	0.26809	0.21479	0.18362	0.16557
0.446	0.37222	0.30071	0.26969	0.21728	0.18347	0.16386
0.448	0.36889	0.2994	0.26948	0.21348	0.18537	0.16527
0.45	0.37153	0.29861	0.26805	0.21635	0.18462	0.16679
0.452	0.37305	0.29921	0.27041	0.2169	0.18547	0.16492
0.454	0.37276	0.3018	0.27009	0.21763	0.18308	0.16703
0.456	0.37447	0.30164	0.27048	0.21578	0.18382	0.16665
0.458	0.37339	0.30386	0.27019	0.21549	0.18564	0.16688
0.46	0.37204	0.30222	0.27035	0.21642	0.18672	0.16525
0.462	0.37579	0.3016	0.27207	0.21802	0.18502	0.16543
0.464	0.37553	0.30272	0.27396	0.21618	0.1868	0.16556
0.466	0.3774	0.30525	0.27393	0.2165	0.18472	0.16951
0.468	0.37857	0.30589	0.27173	0.21864	0.18563	0.16536
0.47	0.37737	0.30492	0.2719	0.21657	0.18559	0.16781
0.472	0.38057	0.3046	0.27259	0.21876	0.18619	0.16657
0.474	0.38183	0.30505	0.27164	0.21793	0.18475	0.16799
0.476	0.38057	0.3036	0.27328	0.22139	0.18702	0.1687
0.478	0.38153	0.3049	0.27439	0.21997	0.18701	0.1693
0.48	0.3829	0.30477	0.2755	0.21826	0.18713	0.17073
0.482	0.38295	0.30468	0.27469	0.2187	0.18727	0.17167
0.484	0.38122	0.30853	0.27344	0.21792	0.18653	0.1692
0.486	0.38498	0.30755	0.27386	0.22147	0.18794	0.16994
0.488	0.38234	0.30883	0.27601	0.21853	0.18818	0.17208
0.49	0.38236	0.30719	0.27666	0.22033	0.18801	0.17133
0.492	0.38556	0.30978	0.27548	0.22067	0.18914	0.17043
0.494	0.38407	0.3075	0.27567	0.21789	0.19026	0.17091
0.496	0.3858	0.30994	0.27674	0.22267	0.1884	0.16814
0.498	0.38902	0.31128	0.27644	0.22117	0.18961	0.16946
0.5	0.38568	0.30823	0.27734	0.22121	0.191	0.17104
0.502	0.38851	0.30984	0.27853	0.21975	0.19125	0.17126
0.504	0.38889	0.30881	0.27666	0.22004	0.18999	0.17288
0.506	0.39176	0.31101	0.27586	0.22067	0.18932	0.1678
0.508	0.39128	0.31147	0.27737	0.22365	0.19002	0.17134
0.51	0.39	0.31142	0.27928	0.22463	0.1897	0.17279
