Inj	tm40	tm30	tm20	tm10	t0	t10	t20	t30	t40	t50	t60	t70
0.002327048	0.02203	0.02273	0.02442	0.0265	0.03079	0.04407	0.04632	0.04566	0.05628	0.02661	0.04477	0.02795
0.002369244	0.02761	0.024	-0.00555	0.02787	0.03172	0.04583	0.04933	0.04755	0.05248	0.02862	0.04499	0.02791
0.002412204	0.0256	0.02322	0.02637	0.02913	0.03323	0.04488	0.04902	0.04791	0.053	0.02799	0.04622	0.02997
0.002455944	0.02938	0.0256	0.0276	0.02973	0.03423	0.0471	0.0508	0.0487	0.0552	0.03101	0.04486	0.03
0.002500477	0.0264	0.02536	0.02739	0.02882	0.03317	0.04656	0.04872	0.04879	0.05462	0.03207	0.04631	0.03016
0.002545817	0.02677	0.02468	0.02667	0.03058	0.03439	0.04474	0.04872	0.04729	0.05433	0.0309	0.04464	0.0306
0.00259198	0.02878	0.0282	0.02842	0.03216	0.0358	0.04862	0.05144	0.04961	0.05635	0.03174	0.04603	0.03171
0.002638979	0.02919	0.02902	0.03007	0.03046	0.03495	0.04802	0.0511	0.04904	0.05751	0.03335	0.04692	0.03095
0.002686831	0.02734	0.02826	0.03169	0.03228	0.03692	0.04852	0.0507	0.05196	0.05796	0.03215	0.04556	0.03366
0.00273555	0.02811	0.03012	0.02956	0.01532	0.03715	0.04785	0.05297	0.05089	0.05731	0.03334	0.04719	0.03245
0.002785153	0.03065	0.03185	0.03215	0.03389	0.03947	0.04976	0.05452	0.05304	0.05724	0.03432	0.04789	0.0326
0.002835655	0.03172	0.03175	0.03233	0.03556	0.04034	0.05167	0.05422	0.05169	0.05695	0.03443	0.04918	0.03405
0.002887073	0.03383	0.03313	0.03444	0.03653	0.03224	0.05058	0.05551	0.0531	0.06083	0.03391	0.05184	0.03336
0.002939423	0.03167	0.03184	0.03367	0.03614	0.03822	0.05004	0.05341	0.05351	0.05903	0.03604	0.04915	0.03395
0.002992723	0.03307	0.03481	0.03491	0.03741	0.04273	0.05307	0.05671	0.05319	0.0611	0.03406	0.05246	0.03541
0.003046989	0.03624	0.03361	0.03539	0.03721	0.04038	0.05246	0.05459	0.05346	0.05954	0.03754	0.05006	0.03742
0.003102239	0.03716	0.03571	0.03541	0.03733	0.04153	0.05266	0.05683	0.05518	0.06249	0.03528	0.05151	0.03568
0.003158491	0.03787	0.03493	0.03815	0.04032	0.04264	0.05587	0.05906	0.05547	0.06503	0.03807	0.05242	0.03661
0.003215763	0.0392	0.03599	0.0395	0.03912	0.04413	0.05484	0.05751	0.05665	0.06336	0.03699	0.05273	0.03768
0.003274073	0.03933	0.03637	0.04114	0.03768	0.04296	0.05691	0.06018	0.05777	0.06289	0.03967	0.05212	0.04065
0.003333441	0.03912	0.03526	0.03919	0.03945	0.04691	0.05621	0.06148	0.05765	0.06321	0.04024	0.05288	0.03806
0.003393885	0.0396	0.0387	0.04204	0.04169	0.04414	0.05877	0.06187	0.05839	0.06569	0.04079	0.05357	0.03902
0.003455425	0.0415	0.03948	0.04235	0.04373	0.04679	0.05886	0.06482	0.05998	0.06377	0.04284	0.05809	0.04205
0.003518081	0.04235	0.04041	0.04182	0.04435	0.04837	0.06052	0.0637	0.05846	0.06555	0.04146	0.05575	0.04036
0.003581873	0.04322	0.04284	0.04248	0.04594	0.04906	0.06021	0.06632	0.06022	0.06834	0.04352	0.05673	0.0419
0.003646822	0.04285	0.04043	0.04345	0.04447	0.04872	0.06089	0.0651	0.06002	0.06608	0.04275	0.055	0.04158
0.003712949	0.04663	0.04111	0.04465	0.04644	0.05052	0.0621	0.06562	0.06352	0.06782	0.0439	0.05605	0.04317
0.003780274	0.04601	0.04278	0.04658	0.03331	0.05	0.06319	0.06798	0.06253	0.06858	0.04432	0.05727	0.0431
0.003848821	0.04686	0.04542	0.04613	0.04796	0.05141	0.06355	0.0664	0.06321	0.06659	0.04464	0.05566	0.04352
0.00391861	0.0496	0.04386	0.04737	0.04965	0.05074	0.06426	0.06785	0.06462	0.0692	0.04685	0.05719	0.04362
0.003989665	0.04889	0.04688	0.04759	0.05088	0.05269	0.0651	0.06873	0.06563	0.07137	0.0491	0.05871	0.04402
0.004062008	0.04977	0.04718	0.04987	0.04963	0.05445	0.06626	0.06936	0.06631	0.07201	0.04856	0.06074	0.04884
0.004135663	0.05161	0.04797	0.05204	0.05151	0.05577	0.06724	0.06932	0.0689	0.07192	0.0494	0.05926	0.04593
0.004210654	0.05237	0.0492	0.05164	0.05203	0.05689	0.06707	0.06974	0.06799	0.07314	0.05031	0.06371	0.04658
0.004287004	0.05175	0.04791	0.05254	0.05379	0.05665	0.06867	0.07248	0.06752	0.0722	0.0492	0.06432	0.04777
0.004364739	0.05353	0.05214	0.05235	0.05684	0.05833	0.07088	0.07365	0.06928	0.07578	0.05133	0.06409	0.04853
0.004443883	0.05343	0.05308	0.05438	0.05535	0.0587	0.07126	0.07388	0.0702	0.07371	0.0506	0.06461	0.04723
0.004524463	0.05817	0.05492	0.05426	0.05635	0.05975	0.06988	0.07603	0.06836	0.07476	0.05215	0.06488	0.04902
0.004606503	0.05718	0.05592	0.05772	0.05956	0.06144	0.07272	0.07668	0.07008	0.07639	0.05264	0.06689	0.05134
0.004690032	0.05907	0.05726	0.05688	0.06033	0.06191	0.07199	0.07792	0.07141	0.07758	0.05282	0.06765	0.05128
0.004775074	0.06014	0.05752	0.059	0.06152	0.06482	0.07405	0.07812	0.07281	0.0797	0.05534	0.06791	0.05149
0.004861659	0.06075	0.05976	0.06107	0.06052	0.06523	0.07569	0.0806	0.0748	0.08013	0.05751	0.07024	0.05271
0.004949814	0.0623	0.05897	0.05945	0.0435	0.06567	0.0768	0.07856	0.07474	0.08088	0.05678	0.06879	0.05394
0.005039567	0.06285	0.0604	0.06066	0.06369	0.06716	0.07781	0.0802	0.07549	0.0808	0.05701	0.06938	0.05466
0.005130948	0.06327	0.06132	0.06466	0.06593	0.06732	0.07961	0.0819	0.07745	0.08095	0.05592	0.06882	0.05465
0.005223986	0.06365	0.06428	0.0639	0.06817	0.06934	0.07974	0.08101	0.07818	0.08386	0.05837	0.07138	0.05612
0.00531871	0.06519	0.06441	0.06866	0.06867	0.07055	0.08023	0.08376	0.07719	0.08304	0.05946	0.06936	0.05669
0.005415153	0.06921	0.06615	0.06963	0.06811	0.07082	0.08221	0.08417	0.08076	0.08361	0.06128	0.07034	0.05772
0.005513344	0.0678	0.06635	0.06968	0.06891	0.06751	0.08182	0.08537	0.0839	0.08562	0.06115	0.07085	0.05714
0.005613316	0.0689	0.06926	0.06907	0.07087	0.07428	0.08428	0.0865	0.08225	0.08501	0.06153	0.07207	0.05793
0.0057151	0.07	0.07028	0.07166	0.0721	0.07432	0.08591	0.08742	0.08555	0.08726	0.06275	0.07178	0.05785
0.00581873	0.07325	0.073	0.07472	0.0674	0.07464	0.08552	0.08714	0.08407	0.08768	0.06347	0.07311	0.06076
0.005924239	0.07383	0.07354	0.07355	0.07637	0.07789	0.08772	0.08843	0.08721	0.09044	0.06546	0.07385	0.06023
0.006031661	0.07614	0.0734	0.07541	0.0749	0.07723	0.08779	0.09106	0.08628	0.08942	0.06705	0.07642	0.06369
0.006141031	0.07519	0.07591	0.07748	0.07797	0.07231	0.08629	0.09182	0.08869	0.09004	0.06691	0.07712	0.06228
0.006252384	0.07782	0.07738	0.07753	0.08	0.08201	0.08993	0.09344	0.09076	0.09167	0.06836	0.07893	0.06632
0.006365757	0.08152	0.0799	0.08075	0.08211	0.08425	0.09143	0.09492	0.09073	0.09431	0.07053	0.07821	0.06317
0.006481185	0.0814	0.08006	0.08087	0.08235	0.08438	0.09408	0.09608	0.09241	0.09281	0.0695	0.07962	0.06642
0.006598706	0.08299	0.08098	0.08297	0.08424	0.08539	0.09657	0.09685	0.09292	0.096	0.07226	0.08048	0.06651
0.006718358	0.08583	0.08339	0.08334	0.08559	0.08716	0.09517	0.09822	0.09515	0.09794	0.07166	0.07968	0.06753
0.00684018	0.08556	0.08462	0.08508	0.08649	0.08847	0.09594	0.09896	0.09525	0.0985	0.07332	0.08147	0.06714
0.00696421	0.09008	0.08769	0.08892	0.0884	0.09017	0.1006	0.09971	0.09755	0.10024	0.0745	0.08128	0.06846
