Inj	tm40	tm30	tm20	tm10	t0	t10	t20	t30	t40	t50	t60	t70
0.001	0.01096	0.01343	0.009351	0.00908	0.00559	0.00467	-0.00644	-0.01954	-0.02504	-0.032604	-0.0418	-0.04404
0.001018133	0.008291	0.00939	0.0101	0.007131	0.007786	0.00158	-0.005	-0.0187	-0.026737	-0.0357	-0.04234	-0.04431
0.001036594	0.01159	0.00885	0.01174	0.00568	0.00579	0.00334	-0.006	-0.01994	-0.02762	-0.03341	-0.04157	-0.04388
0.00105539	0.01212	0.01064	0.01024	0.0115	0.00446	0.00463	-0.00702	-0.01927	-0.025569	-0.03399	-0.03923	-0.0432
0.001074527	0.01056	0.01152	0.01032	0.010555	0.008825	0.00173	-0.00742	-0.01847	-0.02724	-0.032095	-0.04253	-0.04192
0.001094011	0.01118	0.01006	0.010672	0.00915	0.007045	0.00626	-0.00828	-0.018201	-0.026397	-0.03378	-0.04069	-0.04342
0.001113849	0.01097	0.00953	0.01361	0.008795	0.00476	0.00452	-0.00942	-0.01954	-0.026065	-0.03393	-0.04083	-0.04317
0.001134046	0.01209	0.008299	0.00984	0.00869	0.008442	0.00414	-0.00871	-0.01727	-0.02377	-0.03224	-0.04157	-0.04332
0.001154609	0.01026	0.009535	0.010628	0.01153	0.00745	0.00364	-0.0063	-0.01523	-0.02477	-0.032743	-0.03799	-0.04465
0.001175545	0.00958	0.01332	0.00976	0.008281	0.00664	0.00198	-0.00675	-0.01817	-0.023371	-0.03562	-0.0394	-0.04271
0.001196861	0.00876	0.011488	0.01176	0.00765	0.00502	0.00224	-0.00465	-0.01875	-0.026147	-0.03319	-0.04034	-0.0427
0.001218563	0.01094	0.009516	0.01202	0.007474	0.007045	0.00361	-0.01029	-0.01608	-0.0229	-0.03296	-0.04341	-0.04466
0.001240659	0.0114	0.01073	0.00954	0.009582	0.007805	0.00066	-0.00761	-0.01843	-0.024579	-0.03344	-0.04064	-0.04545
0.001263155	0.01082	0.011351	0.01111	0.007437	0.009131	0.00277	-0.00746	-0.01757	-0.02383	-0.03376	-0.03972	-0.04396
0.00128606	0.00962	0.011166	0.010476	0.010911	0.00748	0.00234	-0.01084	-0.01705	-0.02447	-0.03261	-0.04116	-0.04494
0.00130938	0.01232	0.009614	0.010371	0.007905	0.010087	0.00439	-0.00979	-0.01454	-0.02448	-0.031454	-0.04164	-0.0441
0.001333122	0.01273	0.011818	0.008943	0.008711	0.00619	0.00432	-0.00786	-0.01707	-0.026904	-0.03398	-0.04114	-0.04398
0.001357295	0.00993	0.009443	0.010097	0.009502	0.00725	0.00316	-0.00778	-0.01549	-0.02591	-0.03348	-0.04196	-0.04337
0.001381906	0.0113	0.010513	0.01055	0.00547	0.00662	0.00143	-0.00651	-0.01839	-0.024535	-0.03427	-0.04042	-0.04534
0.001406964	0.011354	0.009481	0.008826	0.010257	0.0065	0.00188	-0.00838	-0.01737	-0.02522	-0.03255	-0.03888	-0.04366
0.001432476	0.011002	0.011444	0.0105	0.00758	0.00726	0.00404	-0.00858	-0.01926	-0.024154	-0.03419	-0.04178	-0.04373
0.001458451	0.009638	0.010229	0.006543	0.00906	0.00592	0.00315	-0.00825	-0.01768	-0.02369	-0.03231	-0.04185	-0.04568
0.001484896	0.01218	0.007881	0.009111	0.00552	0.00524	0.0021	-0.00888	-0.02034	-0.025463	-0.03376	-0.04012	-0.04388
0.001511821	0.0125	0.009865	0.011505	0.009604	0.0067	0.00236	-0.00673	-0.0167	-0.02415	-0.03351	-0.04184	-0.04349
0.001539235	0.01169	0.0128	0.010511	0.00766	0.00956	0.00444	-0.00804	-0.01826	-0.025592	-0.03179	-0.04109	-0.04404
0.001567145	0.011519	0.01352	0.008735	0.008046	0.00806	-0.000240000000000001	-0.00746	-0.01647	-0.024679	-0.031153	-0.04183	-0.04458
0.001595562	0.009222	0.009859	0.009536	0.010461	0.00573	0.00351	-0.00901	-0.0177	-0.02523	-0.03355	-0.04274	-0.04472
0.001624493	0.011653	0.00831	0.010811	0.012024	0.00541	0.000580000000000001	-0.00877	-0.01612	-0.026306	-0.03392	-0.03961	-0.04407
0.00165395	0.008531	0.009944	0.0101	0.008808	0.008393	0.00194	-0.00724	-0.01841	-0.0248	-0.0325	-0.04247	-0.04327
0.00168394	0.00865	0.0115	0.011695	0.00821	0.00895	0.00286	-0.0048	-0.01709	-0.0243	-0.032167	-0.04092	-0.04388
0.001714475	0.00936	0.011588	0.01098	0.01208	0.00728	0.00013	-0.00544	-0.01878	-0.02456	-0.032499	-0.04332	-0.04466
0.001745563	0.0065	0.008285	0.010236	0.010497	0.00619	0.00299	-0.01223	-0.019274	-0.02304	-0.032944	-0.04235	-0.04429
0.001777214	0.010791	0.010522	0.008641	0.009847	0.00776	0.00041	-0.00877	-0.01537	-0.02365	-0.03202	-0.04186	-0.04253
0.00180944	0.009458	0.009938	0.010064	0.009377	0.00635	0.00222	-0.00872	-0.01914	-0.02438	-0.03536	-0.04269	-0.04321
0.00184225	0.010441	0.010927	0.00883	0.005738	0.00855	0.00325	-0.00699	-0.01721	-0.024841	-0.03316	-0.04433	-0.04541
0.001875655	0.011905	0.010383	0.011048	0.00988	0.008627	0.00271	-0.00861	-0.0189	-0.02391	-0.03497	-0.04236	-0.04328
0.001909665	0.01068	0.011114	0.0072	0.010109	0.00893	0.00032	-0.00663	-0.01543	-0.026514	-0.030751	-0.04194	-0.04232
0.001944293	0.010879	0.010613	0.00733	0.010573	0.0067	0.00571	-0.00794	-0.01638	-0.02447	-0.0347	-0.04236	-0.04484
0.001979548	0.010369	0.011436	0.011591	0.0119	0.00558	0.00122	-0.00819	-0.01934	-0.02429	-0.033289	-0.04205	-0.04449
0.002015442	0.01078	0.012297	0.011803	0.01028	0.00862	0.00178	-0.01074	-0.01936	-0.025756	-0.033707	-0.04089	-0.04286
0.002051988	0.011108	0.01053	0.00843	0.009843	0.00719	0.00264	-0.00867	-0.01628	-0.02301	-0.03256	-0.04323	-0.04454
0.002089196	0.010911	0.00904	0.010449	0.0084	0.00613	0.00136	-0.01221	-0.01655	-0.02564	-0.031613	-0.04351	-0.04349
0.002127078	0.011908	0.009949	0.010624	0.011955	0.00864	0.00249	-0.00975	-0.01801	-0.02541	-0.031573	-0.04334	-0.04373
0.002165648	0.01061	0.00817	0.01014	0.009717	0.00848	0.00266	-0.00827	-0.01502	-0.02501	-0.031088	-0.04308	-0.04367
0.002204917	0.010663	0.009975	0.009766	0.00669	0.00646	0.00442	-0.00818	-0.0147	-0.025194	-0.03066	-0.04144	-0.0439
0.002244898	0.009687	0.009071	0.01007	0.00989	0.00713	0.00325	-0.00951	-0.01896	-0.02454	-0.033133	-0.04087	-0.04446
0.002285604	0.011036	0.009412	0.00928	0.013278	0.00698	0.0035	-0.0089	-0.01737	-0.02472	-0.02946	-0.04308	-0.0453
