inj	out_1kev_400	fit_1kev_400	out_2kev_400	fit_2kev_400	out_3kev_400	fit_3kev_400	out_1kev_50	fit_1kev_50	out_2kev_50	fit_2kev_50	out_3kev_50	fit_3kev_50
0.0004	0.01706	0.0162783157894737	0.01249	0.00879215789473684	0.0126	0.00727357142857143	0.00816	0.00523110738255033	0.00674	0.00230030473426446	0.00573	0.00202668449964175
0.0008	0.01964	0.0211471578947368	0.00951	0.0117855438596491	0.00692	0.00934387969924812	0.00238	0.00592690864265169	0.00267	0.00271217041723273	0.00138	0.00231048921213522
0.0012	0.02363	0.026016	0.01324	0.0147789298245614	0.01277	0.0114141879699248	0.00489	0.00662270990275304	0.00316	0.003124036100201	0.00202	0.0025942939246287
0.0016	0.02848	0.0308848421052632	0.01848	0.0177723157894737	0.01218	0.0134844962406015	0.00722	0.0073185111628544	0.00222	0.00353590178316927	0.00295	0.00287809863712218
0.002	0.03705	0.0357536842105263	0.01787	0.020765701754386	0.01401	0.0155548045112782	0.00595	0.00801431242295575	0.00138	0.00394776746613755	0.00198	0.00316190334961566
0.0024	0.04236	0.0406225263157895	0.02285	0.0237590877192982	0.01713	0.0176251127819549	0.00649	0.00871011368305711	0.00362	0.00435963314910582	0.00266	0.00344570806210913
0.0028	0.04526	0.0454913684210526	0.02664	0.0267524736842105	0.02012	0.0196954210526316	0.0071	0.00940591494315847	0.00193	0.00477149883207409	0.00429	0.00372951277460261
0.0032	0.05098	0.0503602105263158	0.03101	0.0297458596491228	0.02017	0.0217657293233083	0.00919	0.0101017162032598	0.00522	0.00518336451504236	0.000826	0.00401331748709609
0.0036	0.05637	0.0552290526315789	0.03378	0.0327392456140351	0.02163	0.023836037593985	0.00904	0.0107975174633612	0.00388	0.00559523019801063	0.00454	0.00429712219958957
0.004	0.05983	0.0600978947368421	0.03586	0.0357326315789474	0.02581	0.0259063458646617	0.00763	0.0114933187234625	0.00431	0.0060070958809789	0.00475	0.00458092691208305
0.0044	0.06566	0.0649667368421053	0.03853	0.0387260175438596	0.02842	0.0279766541353383	0.01089	0.0121891199835639	0.00665	0.00641896156394718	0.0057	0.00486473162457652
0.0048	0.07198	0.0698355789473684	0.04459	0.0417194035087719	0.03088	0.030046962406015	0.01025	0.0128849212436652	0.00503	0.00683082724691545	0.00398	0.00514853633707
0.0052	0.0768	0.0747044210526316	0.04626	0.0447127894736842	0.03207	0.0321172706766917	0.01104	0.0135807225037666	0.00508	0.00724269292988372	0.00601	0.00543234104956348
